관광지명,group_1,group_1_tag,group_2,group_2_tag,group_3,group_3_tag,group_4,group_4_tag,group_5,group_5_tag,Group,group1,group2,group3,group4,group5
관덕정,2.0,"['친구', '커플']",7.0,"['커플', '친구', '부모', '어린이', '관광지', '관광', '사계절']",6.0,"['실내', '관광지', '관광', '문화', '사계절', '어린이']",5.0,"['관광', '어린이', '커플', '친구', '관광지']",5.0,"['문화', '유적지', '관광', '역사', '유적']",7.0,0,1,0,0,0
관음사,1.0,['봄'],2.0,"['휴식', '힐링']",0.0,,0.0,,0.0,,2.0,0,1,0,0,0
관음사 템플스테이,1.0,['커플'],5.0,"['커플', '휴식', '힐링', '관광', '사계절']",3.0,"['관광', '문화', '사계절']",3.0,"['체험', '관광', '커플']",3.0,"['문화', '관광', '화관']",5.0,0,1,0,0,0
광령귤나무,2.0,"['자연', '경관']",2.0,"['경관', '자연']",1.0,['겨울'],0.0,,2.0,"['경관', '자연']",2.0,1,1,0,0,1
광치기해변,4.0,"['자연', '경관', '동반', '봄']",9.0,"['경관', '포토', '자연', '스팟', '해변', '관광지', '관광', '무장애', '동반']",4.0,"['관광지', '관광', '동반', '무장애']",5.0,"['관광', '관광지', '해변', '동반', '무장애']",5.0,"['관광', '해변', '경관', '자연', '동반']",9.0,0,1,0,0,0
교래자연휴양림,4.0,"['걷기', '자연', '등산', '경관']",10.0,"['경관', '자연', '휴식', '힐링', '부모', '어린이', '관광지', '여름', '관광', '무장애']",4.0,"['관광지', '관광', '무장애', '어린이']",5.0,"['관광', '어린이', '관광지', '여름', '무장애']",3.0,"['관광', '경관', '자연']",10.0,0,1,0,0,0
구엄리돌염전,4.0,"['자연', '경관', '맑음', '가을']",5.0,"['경관', '자연', '맑음', '해변', '일몰']",1.0,['문화'],2.0,"['맑음', '해변']",8.0,"['문화', '유적지', '역사', '유적', '해변', '경관', '맑음', '자연']",8.0,0,0,0,0,1
구엄포구,3.0,"['자연', '경관', '맑음']",4.0,"['경관', '자연', '맑음', '해변']",1.0,['문화'],2.0,"['맑음', '해변']",9.0,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '맑음', '자연']",9.0,0,0,0,0,1
구좌해안로,3.0,"['걷기', '등산', '맑음']",2.0,"['맑음', '해변']",0.0,,2.0,"['맑음', '해변']",2.0,"['해변', '맑음']",3.0,1,0,0,0,0
국립제주박물관,1.0,['친구'],4.0,"['친구', '관광지', '관광', '무장애']",8.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울']",4.0,"['관광', '친구', '관광지', '무장애']",3.0,"['문화', '관광', '화관']",8.0,0,0,1,0,0
"군산(군산오름,코메오름)",9.0,"['도보', '걷기', '자연', '등산', '경관', '오름', '친구', '맑음', '가을']",5.0,"['경관', '자연', '맑음', '친구', '일몰']",0.0,,2.0,"['맑음', '친구']",3.0,"['경관', '맑음', '자연']",9.0,1,0,0,0,0
굴동포구,2.0,"['자연', '경관']",3.0,"['경관', '자연', '해변']",1.0,['문화'],1.0,['해변'],8.0,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",8.0,0,0,0,0,1
궁대오름(궁대악),6.0,"['도보', '자연', '경관', '오름', '친구', '커플']",11.0,"['경관', '포토', '커플', '자연', '스팟', '휴식', '친구', '힐링', '부모', '사계절', '치유']",2.0,"['테마', '사계절']",2.0,"['커플', '친구']",2.0,"['경관', '자연']",11.0,0,1,0,0,0
귀덕연대,1.0,['봄'],1.0,['관광'],2.0,"['관광', '문화']",1.0,['관광'],6.0,"['문화', '유적지', '관광', '역사', '유적', '화관']",6.0,0,0,0,0,1
귀빈사,1.0,['봄'],1.0,['관광'],3.0,"['실내', '관광', '문화']",1.0,['관광'],6.0,"['문화', '유적지', '관광', '역사', '유적', '화관']",6.0,0,0,0,0,1
귤밭76번지,1.0,['맑음'],3.0,"['맑음', '어린이', '관광']",3.0,"['관광', '어린이', '겨울']",4.0,"['체험', '관광', '어린이', '맑음']",2.0,"['관광', '맑음']",4.0,0,0,0,1,0
귤빛캠핑장,3.0,"['동반', '맑음', '커플']",6.0,"['커플', '맑음', '관광지', '여름', '관광', '동반']",3.0,"['관광지', '관광', '동반']",9.0,"['체험', '레저', '관광', '맑음', '커플', '관광지', '여름', '동반', '캠핑']",3.0,"['관광', '맑음', '동반']",9.0,0,0,0,1,0
그대와함께라면,1.0,['동반'],1.0,['동반'],4.0,"['카페', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",4.0,0,0,1,0,0
