관광지명,Group3,Group3_tag,group3_1,group3_1_tag,group3_2,group3_2_tag
513텐동,1,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,
Cafe 몽스파,1,"['카페', '관광지', '식당', '관광', '동반']",1.0,"['카페', '식당', '관광', '관광지']",0.0,"['관광', '관광지']"
minagrooming(미나그루밍),1,['동반'],0.0,,0.0,
개떼목장,1,"['카페', '동반']",1.0,['카페'],0.0,
건강과성박물관,1,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '사계절']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술', '사계절']"
국립제주박물관,1,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술']"
그대와함께라면,1,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,
그레이그로브,1,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,
그초록,1,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,
금능이큐스테이호텔,1,['동반'],0.0,,0.0,
금능제면소,1,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,
김만덕기념관,1,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술']"
김영갑갤러리 두모악,1,"['실내', '관광', '박물관', '무장애', '미술', '문화', '겨울']",0.0,"['관광', '미술']",1.0,"['관광', '실내', '무장애', '문화', '박물관', '미술']"
깅코,1,"['카페', '라떼', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식', '라떼']",0.0,
꼬라지오,1,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,
나무식탁,1,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,
난드르바당,1,"['카페', '식당', '동반', '음식']",1.0,"['카페', '식당', '음식']",0.0,
난산리다방,1,"['카페', '식당', '동반']",1.0,"['카페', '식당']",0.0,
너는파라다이스길리,1,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,
노형수퍼마켙,1,"['실내', '관광지', '관광', '박물관', '테마', '미술', '문화', '사계절', '어린이', '안전']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '문화', '테마', '박물관', '미술', '어린이', '사계절']"
놀멍쉬멍고르멍(애견카페),1,"['카페', '관광지', '식당', '관광', '동반']",1.0,"['카페', '식당', '관광', '관광지']",0.0,"['관광', '관광지']"
누바비치,1,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,"['카페', '식당', '음식', '라떼', '아메리카노', '카페라떼', '바닐라']",0.0,
