group,keyword
0,"['관광', '관광지', '문화', '실내', '역사', '유적', '유적지']"
1,"['동반', '라떼', '식당', '카페']"
2,"['경관', '도보', '맑음', '스팟', '자연', '친구', '커플', '포토']"
3,['반려동물']
4,"['레저', '체험']"
5,"['가을', '걷기', '겨울', '공원', '등산', '마을', '무장애', '미술', '박물관', '반입', '봄', '부모', '사계절', '산책', '수상', '아메리카노', '어린이', '여름', '오름', '올레', '음식', '이색', '카페라떼', '테마', '해변', '휴식', '힐링']"
