관광지명,Group5,Group5_tag,group5_1,group5_1_tag,group5_2,group5_2_tag
1100고지(휴게소),1,"['경관', '도로', '명품']",0.0,,1.0,['경관']
1112도로,1,"['경관', '자연']",0.0,,1.0,"['경관', '자연']"
5.16도로숲터널,1,"['경관', '맑음', '자연', '도로', '명품']",0.0,,1.0,"['경관', '자연', '맑음']"
minagrooming(미나그루밍),1,['동반'],1.0,['동반'],0.0,
가마오름 진지동굴,1,"['문화', '유적지', '관광', '역사', '유적', '화관']",0.0,,1.0,['화관']
강병대교회,1,"['문화', '유적지', '관광', '역사', '유적', '화관']",0.0,,1.0,['화관']
개떼목장,1,"['카페', '동반']",1.0,"['동반', '카페']",0.0,
곤물,1,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",0.0,,1.0,"['화관', '경관', '자연']"
공천포,1,"['문화', '유적지', '역사', '유적', '해변', '경관', '자연']",0.0,['해변'],1.0,"['경관', '자연', '해변']"
곽지패총,1,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",0.0,,1.0,"['화관', '경관', '자연']"
광령귤나무,1,"['경관', '자연']",0.0,,1.0,"['경관', '자연']"
구엄리돌염전,1,"['문화', '유적지', '역사', '유적', '해변', '경관', '맑음', '자연']",0.0,['해변'],1.0,"['경관', '자연', '맑음', '해변']"
구엄포구,1,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '맑음', '자연']",0.0,"['포구', '해변']",1.0,"['경관', '자연', '맑음', '해변']"
굴동포구,1,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",0.0,"['포구', '해변']",1.0,"['경관', '자연', '해변']"
귀덕연대,1,"['문화', '유적지', '관광', '역사', '유적', '화관']",0.0,,1.0,['화관']
귀빈사,1,"['문화', '유적지', '관광', '역사', '유적', '화관']",0.0,,1.0,['화관']
금능이큐스테이호텔,1,['동반'],1.0,['동반'],0.0,
금능제면소,1,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
금능포구,1,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",0.0,"['포구', '해변']",1.0,"['경관', '자연', '해변']"
금덕무환자나무및팽나무군락,1,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",0.0,,1.0,"['화관', '경관', '자연']"
금성포구,1,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",0.0,"['포구', '해변']",1.0,"['경관', '자연', '해변']"
금요일의아침조금,1,"['식당', '카페', '동반', '제주시']",1.0,"['동반', '카페', '식당']",0.0,
김녕금속공예벽화마을,1,"['문화', '유적지', '관광', '역사', '유적', '경관', '화관']",0.0,,1.0,"['화관', '경관']"
김녕사굴,1,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",0.0,,1.0,"['화관', '경관', '자연']"
김녕항,1,"['해변', '경관', '맑음', '자연']",0.0,['해변'],1.0,"['경관', '자연', '맑음', '해변']"
김만덕객주,1,"['문화', '유적지', '관광', '역사', '유적', '맑음', '식당', '카페', '동반', '화관']",1.0,"['동반', '카페', '식당']",0.0,"['화관', '맑음']"
난산리다방,1,"['식당', '카페', '동반']",1.0,"['동반', '카페', '식당']",0.0,
남문지못,1,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",0.0,,1.0,"['화관', '경관', '자연']"
남원항 (남원포구),1,"['문화', '유적지', '관광', '역사', '유적', '경관', '맑음', '자연']",0.0,,1.0,"['경관', '자연', '맑음']"
너븐숭이 4.3기념관,1,"['문화', '관광', '역사', '유적', '경관', '자연', '화관']",0.0,,1.0,"['화관', '경관', '자연']"
눈물의십자가,1,"['문화', '유적지', '관광', '역사', '유적', '맑음', '화관']",0.0,,1.0,"['화관', '맑음']"
다끄네포구(용담포구),1,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",0.0,"['포구', '해변']",1.0,"['경관', '자연', '해변']"
