관광지명,Group2,Group2_tag,group2_1,group2_1_tag,group2_2,group2_2_tag
1100고지(휴게소),1,"['경관', '포토', '스팟']",1.0,"['포토', '스팟']",0.0,
1100고지습지,1,"['경관', '포토', '자연', '스팟']",1.0,"['포토', '스팟']",0.0,
1112도로,1,"['경관', '자연']",0.0,,0.0,
5.16도로숲터널,1,"['경관', '포토', '자연', '맑음', '스팟']",1.0,"['포토', '스팟', '맑음']",0.0,['맑음']
9.81 파크,1,"['커플', '친구', '관광지', '관광', '동반']",1.0,"['관광', '동반', '관광지', '커플']",0.0,"['커플', '친구', '관광']"
M1971 요트투어,1,"['경관', '포토', '스팟', '휴식', '힐링', '관광지', '관광', '무장애']",1.0,"['포토', '스팟', '관광', '관광지', '무장애']",0.0,"['휴식', '힐링', '관광']"
SM 디지털아트 뮤지엄,1,"['커플', '친구', '부모', '어린이', '관광지', '관광', '사계절']",0.0,"['관광', '관광지', '커플']",1.0,"['커플', '친구', '부모', '어린이', '관광']"
minagrooming(미나그루밍),1,['동반'],1.0,['동반'],0.0,
가뫼물,1,"['경관', '자연', '어린이', '관광']",0.0,['관광'],1.0,"['어린이', '관광']"
가파도,1,"['경관', '포토', '커플', '자연', '맑음', '스팟', '휴식', '친구', '힐링']",0.0,"['포토', '스팟', '맑음', '커플']",1.0,"['커플', '친구', '맑음', '휴식', '힐링']"
가파초등학교 마라분교장,1,"['경관', '포토', '맑음', '스팟', '사계절']",1.0,"['포토', '스팟', '맑음']",0.0,['맑음']
감귤박물관 월라봉 산책로 - 생이소리길,1,"['경관', '커플', '자연', '맑음', '휴식', '힐링', '부모', '관광지', '관광']",0.0,"['관광', '관광지', '맑음', '커플']",1.0,"['커플', '맑음', '휴식', '힐링', '부모', '관광']"
갑자기 히어로즈 벽화길,1,"['경관', '포토', '커플', '스팟', '친구', '어린이']",1.0,"['포토', '스팟', '커플']",1.0,"['커플', '친구', '어린이']"
강정어촌계,1,"['경관', '포토', '스팟', '해변', '관광']",1.0,"['포토', '스팟', '관광', '해변']",0.0,['관광']
거믄여해안경승지,1,"['경관', '포토', '자연', '맑음', '스팟', '해변']",1.0,"['포토', '스팟', '맑음', '해변']",0.0,['맑음']
걸매생태공원,1,"['경관', '자연', '맑음', '휴식', '힐링']",0.0,['맑음'],1.0,"['맑음', '휴식', '힐링']"
걸서악오름,1,"['경관', '포토', '자연', '맑음', '스팟', '친구']",1.0,"['포토', '스팟', '맑음']",0.0,"['친구', '맑음']"
검멀레동굴,1,"['경관', '포토', '커플', '자연', '맑음', '스팟', '친구', '부모', '어린이']",0.0,"['포토', '스팟', '맑음', '커플']",1.0,"['커플', '친구', '맑음', '부모', '어린이']"
검멀레해변,1,"['경관', '포토', '커플', '자연', '맑음', '스팟', '해변', '여름']",1.0,"['포토', '스팟', '맑음', '해변', '여름', '커플']",0.0,"['커플', '맑음', '여름']"
게우지코지,1,"['경관', '포토', '커플', '자연', '스팟', '친구']",1.0,"['포토', '스팟', '커플']",0.0,"['커플', '친구']"
고내리포구,1,"['경관', '커플', '자연', '친구', '부모', '해변']",0.0,"['해변', '커플']",1.0,"['커플', '친구', '부모']"
고사리숲,1,"['경관', '자연', '어린이', '관광']",0.0,['관광'],1.0,"['어린이', '관광']"
고산일과해안도로,1,"['커플', '맑음', '해변', '일몰']",1.0,"['맑음', '해변', '커플']",0.0,"['커플', '맑음']"
고씨주택,1,"['경관', '포토', '스팟', '휴식', '힐링', '관광지', '관광', '사계절', '치유']",1.0,"['포토', '스팟', '관광', '관광지']",1.0,"['휴식', '힐링', '치유', '관광']"
고요산책,1,"['휴식', '친구', '힐링', '관광지', '관광', '사계절', '치유']",0.0,"['관광', '관광지']",1.0,"['친구', '휴식', '힐링', '치유', '관광']"
고흐의 정원,1,"['경관', '커플', '자연', '친구', '부모', '어린이', '관광지', '관광', '사계절']",0.0,"['관광', '관광지', '커플']",1.0,"['커플', '친구', '부모', '어린이', '관광']"
공천포구,1,"['경관', '포토', '커플', '자연', '맑음', '스팟', '친구', '부모', '어린이', '해변']",1.0,"['포토', '스팟', '맑음', '해변', '커플']",1.0,"['커플', '친구', '맑음', '부모', '어린이']"
관덕정,1,"['커플', '친구', '부모', '어린이', '관광지', '관광', '사계절']",0.0,"['관광', '관광지', '커플']",1.0,"['커플', '친구', '부모', '어린이', '관광']"
관음사,1,"['휴식', '힐링']",0.0,,1.0,"['휴식', '힐링']"
관음사 템플스테이,1,"['커플', '휴식', '힐링', '관광', '사계절']",0.0,"['관광', '커플']",1.0,"['커플', '휴식', '힐링', '관광']"
광령귤나무,1,"['경관', '자연']",0.0,,0.0,
광치기해변,1,"['경관', '포토', '자연', '스팟', '해변', '관광지', '관광', '무장애', '동반']",1.0,"['포토', '스팟', '관광', '동반', '관광지', '해변', '무장애']",0.0,['관광']
교래자연휴양림,1,"['경관', '자연', '휴식', '힐링', '부모', '어린이', '관광지', '여름', '관광', '무장애']",0.0,"['관광', '관광지', '무장애', '여름']",1.0,"['휴식', '힐링', '부모', '어린이', '여름', '관광']"
궁대오름(궁대악),1,"['경관', '포토', '커플', '자연', '스팟', '휴식', '친구', '힐링', '부모', '사계절', '치유']",0.0,"['포토', '스팟', '커플']",1.0,"['커플', '친구', '휴식', '힐링', '부모', '치유']"
금능이큐스테이호텔,1,['동반'],1.0,['동반'],0.0,
금룡사 템플스테이,1,"['커플', '휴식', '힐링', '관광', '사계절']",0.0,"['관광', '커플']",1.0,"['커플', '휴식', '힐링', '관광']"
김경숙해바라기농장,1,"['경관', '포토', '커플', '자연', '맑음', '스팟', '친구', '부모', '어린이', '여름']",0.0,"['포토', '스팟', '맑음', '여름', '커플']",1.0,"['커플', '친구', '맑음', '부모', '어린이', '여름']"
김녕항,1,"['경관', '자연', '맑음', '해변']",1.0,"['맑음', '해변']",0.0,['맑음']
김녕해안도로,1,"['경관', '커플', '자연', '맑음', '여름']",1.0,"['맑음', '여름', '커플']",1.0,"['커플', '맑음', '여름']"
까끄래기오름,1,"['경관', '포토', '커플', '자연', '맑음', '스팟', '휴식', '친구', '힐링', '사계절', '치유']",0.0,"['포토', '스팟', '맑음', '커플']",1.0,"['커플', '친구', '맑음', '휴식', '힐링', '치유']"
꽃썸,1,"['포토', '커플', '맑음', '스팟', '휴식', '친구', '부모', '해변', '여름']",1.0,"['포토', '스팟', '맑음', '해변', '여름', '커플']",1.0,"['커플', '친구', '맑음', '휴식', '부모', '여름']"
나바론절벽,1,"['경관', '포토', '자연', '스팟']",1.0,"['포토', '스팟']",0.0,
낙천리아홉굿의자마을,1,"['맑음', '휴식', '힐링', '어린이', '관광지', '관광', '무장애', '동반']",1.0,"['관광', '동반', '관광지', '맑음', '무장애']",1.0,"['맑음', '휴식', '힐링', '어린이', '관광']"
