관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
화조원,1,"['체험', '관광', '어린이', '관광지']",1.0,"['관광', '어린이', '관광지']",0.0,['어린이'],0.0,['관광']
환상숲곶자왈 담앙족욕,1,"['체험', '관광', '마을']",1.0,"['관광', '마을']",0.0,,0.0,['관광']
OK승마장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
감귤박물관 감귤따기 체험,1,['체험'],0.0,,0.0,,0.0,
감성을담다,1,['체험'],0.0,,0.0,,0.0,
굿다이버,1,"['체험', '레저', '수상']",0.0,['레저'],1.0,"['레저', '수상']",0.0,['레저']
그린페블,1,['체험'],0.0,,0.0,,0.0,
김서프제주,1,"['체험', '레저', '수상']",0.0,['레저'],1.0,"['레저', '수상']",0.0,['레저']
노을승마장,1,"['체험', '레저', '승마']",0.0,['레저'],0.0,['레저'],1.0,"['승마', '레저']"
다이브맵,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
달다제주,1,['체험'],0.0,,0.0,,0.0,
담화헌,1,['체험'],0.0,,0.0,,0.0,
덕천곤충영농조합,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
덕천리 팔자 좋아 길,1,['체험'],0.0,,0.0,,0.0,
도시해녀,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
돌고래하우스(캠핑장),1,"['산책', '캠핑']",1.0,['산책'],1.0,['캠핑'],1.0,['캠핑']
라니멜레,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
라이더스랩,1,"['체험', '레저', '이색', '승마']",0.0,['레저'],0.0,['레저'],1.0,"['이색', '승마', '레저']"
라이크더윈드 스튜디오,1,['체험'],0.0,,0.0,,0.0,
런닝맨,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
로봇플래닛,1,['체험'],0.0,,0.0,,0.0,
문서프,1,"['해변', '물놀이']",0.0,,1.0,"['해변', '물놀이']",0.0,
바구스서핑스쿨,1,"['체험', '레저', '수상']",0.0,['레저'],1.0,"['레저', '수상']",0.0,['레저']
바다다이브,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
바람불어좋은날 천연염색 공방,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
반지마을 제주 1호점,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
뱅듸승마클럽,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
보물섬하이킹,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
부영컨트리클럽,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
뷰 제주하늘,1,['체험'],0.0,,0.0,,0.0,
비고르서프,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
사슴공방,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
사월의 꿩,1,['체험'],0.0,,0.0,,0.0,
산도스카발리오홀스파크,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
삼다수목장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
서프론트,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
서프서프,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
서프앤조이,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
서피플,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
성산스쿠버리조트,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
성읍승마장,1,"['체험', '레저', '승마']",0.0,['레저'],0.0,['레저'],1.0,"['승마', '레저']"
